1722318855434|97|statement|connection 30|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'bms_order_charge_log' 
1722318855533|98|statement|connection 30|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from bms_order_charge_log|show full fields from bms_order_charge_log
1722319499707|109|statement|connection 40|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1722319499818|110|statement|connection 40|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'bms_order_charge_log' 
1722319499953|127|statement|connection 40|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from bms_order_charge_log|show full fields from bms_order_charge_log
1722319537679|105|statement|connection 40|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1722319537782|107|statement|connection 40|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'bms_order_charge_log' 
1722319537891|108|statement|connection 40|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from bms_order_charge_log|show full fields from bms_order_charge_log
1723784939339|342|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show table status WHERE 1=1|show table status WHERE 1=1
1723785084584|101|statement|connection 10|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723785084695|101|statement|connection 10|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723785084820|114|statement|connection 10|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723785092669|98|statement|connection 10|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723785092768|100|statement|connection 10|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723785092872|101|statement|connection 10|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723785215699|105|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723785215811|100|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723785215914|101|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723785325578|111|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723785325701|105|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723785325809|107|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723785414808|121|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723785414934|113|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723785415043|115|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723785442370|112|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723785442485|112|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723785442600|114|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723785585797|100|statement|connection 10|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723785585899|100|statement|connection 10|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723785586002|102|statement|connection 10|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723785982571|650|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show table status WHERE 1=1|show table status WHERE 1=1
1723786021795|97|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723786021907|99|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
1723786022010|101|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|show full fields from crm_contract_template|show full fields from crm_contract_template
1723786192286|121|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select database() as databaseName|select database() as databaseName
1723786192410|110|statement|connection 0|url jdbc:p6spy:mysql://jumpserver.lecangs.com:33061/loctek_230217?useUnicode=true&characterEncoding=UTF-8&useSSL=false&serverTimezone=GMT%2B8|select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = ? and table_name = ? |select table_name as name,TABLE_COMMENT as comment from information_schema.`TABLES` where table_schema = 'loctek_230217' and table_name = 'crm_contract_template' 
